กุ้งเผา,กุ้ง: 1 กิโลกรัม
ปลามงทอด,"ปลามง: 1 ชิ้น
น้ำมันปาล์ม: 1/2 ขวด
เกลือสมุทร: 1/2 ช้อนชา"
ไก่ผัดเผ็ดกะทิสด,"อกไก่: 500 กรัม
พริกแกงเผ็ด: 50 กรัม
กะทิ: 250 มล
ซอสหอยนางรม: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
ใบมะกรูดอ่อน: 10 ใบ"
โจ๊กทรงเครื่อง 🥚,"โจ๊กสำเร็จรูปแบบซองรสหมู: 2 ซอง
น้ำเปล่า: 1/2 ถ้วย
หมูสับ: 2 ช้อนโต๊ะ
ตับหมู: 4 ชิ้น
ต้นหอม: 1 ต้น
ผักชี: 1 ใบ
ขิง: 1 แผ่น
พริกไทย: ตามชอบ"
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"เห็ดเผาะสด (อ่อน/แก่ตามชอบ): 1 ลิตรเล็ก (ประมาณ 300 กรัม
หน่อไม้ดอง: 100 กรัม
ชะอมและชะพลู (ถ้ามี): ตามชอบ
หัวกะทิ: 500 มิลลิกรัม
พริกแกงเผ็ด: แล้วแต่ชอบ
เครื่องปรุงรส (น้ำปลา, น้ำตาล): ตามชอบ"
ผัดผักรวมไก่สับ,"ไก่สับ: 150 กรัม
ไข่ไก่: 2 ฟอง
บล๊อคโคลี: 50 กรัม
แครอท: 50 กรัม
ฟักทอง: 50 กรัม
ข้าวโพดอ่อน: 30 กรัม
น้ำมันหอย: 1 ช้อนชา
ซีอิ้วขาวโลว์โซเดียม: 1 ช้อนชา
น้ำมันมะกอก: 1 ช้อนโต๊ะ
น้ำซุป: 2 Oz
กระเทียมสับ: เล็กน้อย"
แกงกะทิไก่หน่อไม้ดอง,"สะโพกไก่: ครึ่งกิโลกรัม
ตีนไก่: ครึ่งกิโลกรัม
เลือดไก่: 1 ก้อน
หน่อไม้ดอง: ครึ่งกิโลกรัม
ใบโหระพา: 1 กำ
พริกแกงแดงหยาบ: 1 ขีด
กะทิ: ครึ่งกิโลกรัม
น้ำตาลมะพร้าว: 1 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
พริกชี้ฟ้าแดง: 1 เม็ด"
ต้มยำน้ำข้นหมูเด้ง 🌶️,"น้ำเปล่า: 
หมูเด้ง: 
เห็ดชิเมจิ: 
ใบมะกรูด: 
ตะไคร้: 
พริกแห้ง: 
ซุปก้อน: 
เกลือ: 
มะนาว: 
พริกป่น: 
น้ำปลา: 
นมจืด: 
น้ำะริดเผ: "
ห่อหมกปลากระพง,"พริกขี้หนูสด: 12 เม็ด
ขมิ้นความยาวประมาณ 2 ข้อนิ้ว: 1 อัน
กระเทียม: 3 กลีบ
ตะไคร้: 1 ต้น
ใบมะกรูด: 2 ใบ
กะปิ: 1 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนชา
ผงคนอร์รสหมู: 1/2 ช้อนชา
น้ำตาลปี๊ป: 1 ช้อนชา
หอมแดง: 1 หัว
น้ำปลา: 1 ช้อนชา
ไข่ไก่: 1 ฟอง
หัวกะทิ: 120 ml
เนื้อปลากระพงหั่นเต๋า: 150 กรัม
เนื้อปลาซาบะสับละเอียด: 150 กรัม
ใบชะพลู: 
กะหล่ำปลีซอย: 
ใบโหระพา: 
ปลาหมึก:"
บะหมี่ผัดเย็นตาโฟแห้ง,"บะหมี่: 1
ลูกชิ้นปลา: ตามชอบ
ลูกชิ้นกุ้ง: ตามชอบ
ฮื่อก๊วย: ตามชอบ
เกี๊ยวปลา: ตามชอบ
ปลาหมึกกรอบ: ตามชอบ
ผักบุ้งไทย: ตามชอบ
ซอสเย็นตาโฟ: 1
พริกแดงจินดา: 4-5 เม็ด
กระเทียม: 3-4 กลีบ
ซอสหอยนางรม: 1/2 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนชา
ซีอิ๊วขาว: 1/2 ช้อนชา
น้ำส้มสายชู: 1 ช้อนชา
น้ำมัน: 1/2 ช้อนโต๊ะ"
ผัดพริกแกงกุ้งถั่วฝักยาว,"กุ้ง: 400 กรัม
ไข่: 2 ฟอง
ถั่วฝักยาว: 400 กรัม
พริกแกงเผ็ด: 2 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
น้ำมัน: 1 ช้อนโต๊ะ
ใบมะกรูด: 7 ใบ
โหระพา: 2 กิ่ง
ซอสหอยนางรม: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ"
ยำไข่ต้ม,"ไข่ไก่ หรือไข่เป็ด: 3 ฟอง
น้ำมะนาว: 3 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนโต๊ะ
พริกซอย: ตามชอบ
หอมแดงซอย: ตามชอบ
น้ำสะอาด:"
ต้มยำไก่,"อกไก่: 2 ชิ้น
ซี่โครงไก่: 1 ตัว
เครื่องปรุงต้มยำโลโบ้: 1 ซอง
มะเขือเทศ: 2 ลูก
หอมใหญ่: 1 ลูก
ต้นหอมผักชี: 
ข้าวโพดอ่อน: 1 ถุง
มะนาว: 
น้ำปลา: 
น้ำตาล: 
น้ำสะอาด:"
แกงเขียวหวานไก่ใส่หน่อไม้,"ไก่สับ: 1/2 ตัว
เลือดไก่: 1 ก้อน
มะเขือเปราะ: 500 กรัม
หน่อไม้: 1 หน่อ
โหระพา: 4 กิ่ง
พริกแกงเขียวหวาน: 150 กรัม
กะทิ: 1000 มิลลิลิตร
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
ผงปรุงรส: 2 ก้อน
น้ำปลา: 2 ช้อนโต๊ะ
มะเขือพวง: 50 กรัม"
ผัดกะเพราขาหมูพะโล้,"ขาหมูพะโล้ส่วนเนื้อ-หนัง: 200 กรัม
กระเทียม: 6 กลีบ
พริกขี้หนู: 8-10 เม็ด
ใบกะเพรา: 5 ต้น
น้ำมัน: 3 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
ซีอิ๊วดำ (หวาน): 2 ช้อนชา"
กุ้งอบภูเขาไฟ,"1.กระเทียมสด: 10กลีบ
2.พริกไทยเม็ด: 5-10
3.รากผักชี,ขิงอ่อน: 3-4ชิ้น
4.วุ้นเส้น: 1ห้อกลาง
5.กุ้งสด: 0.5กก.
6.ขึ้นฉ่าย: 1-2ต้น
7.มันหมูหั่นชิ้นบาง: 2-3ชิ้น
8.ซอสหอยนางรม: 2ช้อนโต๊ะ
9.ซอสปรุงรส: 2ชต
10.น้ำตาลทราย: 1ช้อนชา
11.ซีอิ้วดำ: 1ช้อนชา"
บะจ่างใบบัว,"ข้าวเหนียว กลางปี -ใหม่ เนื่องจากเราใช้นึ่งไม่ได้ต้ม นะคะ ข้าวเก่าจะสุกยาก: 500 กรัม
หมูสามชั้น: 1 ถ้วย
กุ้งแห้ง: 1 ถ้วย
ถั่วลิสงดิบ: 1 ถ้วย
เห็ดหอมแห้งแช่น้ำ: 1ถ้วย
ไข่แดงเค็มดิบ (ตามชอบ): 7-14 ฟอง
แปะก๊วย: 1/2 ถ้วน
กุนเชียง: 1 ถ้วย
ผงพะโล้: 2ช้อนชา
ซีอิ๊วขาว: 1ถ้วย
น้ำตาลปีบ: 1/2ถ้วย
พริกไทย: 1/4 ถ้วย"
ข้าวผัดไก่ย่าง,"ไก่ย่างฉีก: 1/4 ตัว
ข้าวสวย: 1 ถ้วย
ไข่ไก่: 1 ฟอง
ต้นหอมซอย: 1 ต้น
ซีอิ๊วขาว: -
ซอสปรุงรส: -
น้ำตาล: -
น้ำมันพืช: 1 ช้อนโต๊ะ"
ดอกกะหล่ำผัดกุ้งเห็ดหอม,"ดอกกะหล่ำ: 1หัว
กุ้งสด: 3ตัว
เห็ดหอมแช่น้ำซอย: 3-4หัว
น้ำตาล: 3ชช
น้ำปลา: 1ชช
น้ำมันหอย: 1ชต
ซอสปรุงรส: 1ชช
พริกไทป่น: 1/2ชช
กระเทียมสับ: 1ชช"
น้ำพริกนรกแตก,"กระเทียมไทยกลีบเล็ก1: 500 กรัม
พริกจินดาแห้ง1: 100 กรัม
ผงปรุงรสหมู/ไก่ หรือเกลือป่น: ตามชอบ
น้ำตาลทราย1: ตามชอบ
กระเทียมไทยกลีบเล็ก2: 500 กรัม 2
พริกหัวเรือแห้ง2: 100 กรัม
ผงปรุงรสปาปริกาก้า: ตามชอบ
น้ำตาลทราย2: ตามชอบ
น้ำมันพืช: สำหรับเจียวกระเทียม"
ใบเหลียงผัดไข่,"ใบเหลียง: 250 g
ไข่ไก่: 2 ฟอง
น้ำตาลทราย: 
น้ำปลา: 
น้ำมันหอย: 
รสดี: 
กระเทียม: 3 กลีบ"
สะตอผัดกะปิ,"สะตอ: 50 กรัม
หมู: 100กรัม
พริกขี้หนูสวน: 10-15 เม็ด
กระเทียม: 10 กลีบ
หอมแดง: 5 หัว
กะปิน้ำพริก กะปิใต้: 1 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
มะนาว: 1 ชิ้น
มะกูด: 2-3 ใบ"
แกงป่าหมูป่าใบยี่หร่า,"เนื้อหมูป่า: 250 กรัม
มะเขือเปราะ: 5 ลูก
ฟักทอง: 1/2 ถ้วย
ข้าวโพดอ่อน: 1/2 ถ้วย
กระชายหั่น: 1/4 ถ้วย
พริกไทยอ่อน: 2 ช้อนโต๊ะ
พริกชี้ฟ้า: 2 เม็ด
ใบยี่หร่าหรือกะเพราควาย: 10 ใบ
ใบกะเพรา: 1/2 ถ้วย
ใบมะกรูดฉีก: 5 ใบ
น้ำปลา: 2 ช้อนโต๊ะ
น้ำตาลทราย(ตัดรส): 1/2 ช้อนชา
น้ำมันสำหรับผัด: 1 ช้อนชา
น้ำเปล่า: 2-3 ถ้วย
พริกแกงเผ็ด: 2+1/2 ช้อนโต๊ะ"
เป็ดย่างผัดพริกแกงไข่เค็ม,"เป็ดย่าง: 150 กรัม
ใบกะเพรา: 15 กรัม
กระเทียม: 1 กลีบ
พริกจินดาแดง: 1 เม็ด
กระชาย (สับ): 2 ช้อนโต๊ะ
พริกแกงเผ็ดแดง: 2 ช้อนโต๊ะ
ใบมะกรูด: 4 ใบ
มะเขือพวง: 30 กรัม
มะเขือเปราะ: 2 ผล
พริกชี้ฟ้าแดง: ½ เม็ด
น้ำสต๊อกไก่: 100 มิลลิลิตร
ซอสหอยนางรม: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนชา
น้ำตาลทราย: 2 ช้อนชา
ไข่เค็มสุก: 1 ฟอง
น้ำมันรำข้าว: สำหรับทอด"
✿ แกงผักกวางตุ้ง ✿,"ผักกวางตุ้ง: 3 กำ
ซี่โครงหมู: 4 ขีด
พริกแกง: 1 ช้อนโต๊ะ
คนอร์: 1 ก้อน"
ปลาส้มผัดสมุนไพร,"ปลาส้มข้าวคั่ว: 
ปลาส้มข้าวสุก: 
ตะไคร้: 
หอมแดง: 
พริกขี้หนูสวน: 
ใบมะกรูด: "
ข้าวหมูตุ๋น,"เนื้อหมูติดมัน: 1 kg
รากผักชี กระเทียม พริกไทย ตำรวมกัน: 2 ช้อนโต๊ะ
ซอสปรุงรส: 1/2 ถ้วย
เกลือ: 1 ช้อนโต๊ะ
น้ำตาลกรวด: 4-5 เม็ด
ซีอิ๊วดำหวาน: 5 ช้อนโต๊ะ
ซีอิ๊วขาว: 1/2 ถ้วย
ผักดอง: 
ผักลวก: 
น้ำมันพืช: 
น้ำสตอกหมู:"
แกงหมูตะพาบน้ำ สูตรโบราณ แบบครบเครื่อง,"ขาหมูเลาะกระดูก: 1 กิโลกรัม
ใบโหระพา: ใส่ตามชอบ
มะเขือเทศ: 3 ลูก
ใบมะกรูด: 5-6 ใบ
พริกขี้ฟ้าแดง: 2 เม็ด
พริกแกงคั่วแบบหยาบ: 100 กรัม
กะทิ: 250 มิลลิลิตร
ระกำ: ใส่ตามชอบ
มะอึก(สำคัญ): 3-4 ลูก
กะปิ: 1/2 ช้อนโต๊ะ
กุ้งแห้งตำ: 2 ช้อนโต๊ะ
น้ำมะขามเปียก: ชิมรส
ผงปรุงรส: 1/2 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนโต๊ะ"
สามชั้นคั่วพริกเกลือ,"สามชั้นหั่นชิ้นไม่ต้องบางมาก: 250 กรัม
กระเทียมไทยสับ: 2 ช้อนโต๊ะ
รากผักชีสับ: 1 ช้อนโต๊ะ
พริกจินดาสับ: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
ซีอิ๊วขาว: 1 ช้อนชา"
ชื่ออาหาร,url
ลูกชิ้นเต้าหู้ทอด (เจ),https://www.pim.in.th/snack/1516-tofu-ball
ข้าวเม่าหมี่,https://www.pim.in.th/snack/501-2011-08-10-18-28-31
เผือกห่อฟองเต้าหู้,https://www.pim.in.th/snack/1514-fried-taro-rolls
ยำรากบัว สไตล์จีน,https://www.pim.in.th/snack/1469-spicy-lotus-root-salad
ไก่ทอดซอสหัวหอม,https://www.pim.in.th/snack/1503-snow-onion-chicken
ลูกชิ้นชุบแป้งทอด น้ำจิ้มมะขาม,https://www.pim.in.th/snack/1453-deep-fried-meat-balls
เกี๊ยวหมูทรงเครื่องไข่แดงเค็ม,https://www.pim.in.th/snack/1495-boiled-pork-wonton
ทูน่าคอร์นสลัด,https://www.pim.in.th/snack/1448-tuna-corn-salad
น้ำปลาหวานมะม่วง (สูตรปลาป่น),https://www.pim.in.th/snack/1483-sweet-fish-sauce-with-mango
ยำแตงกวา สไตล์จีน,https://www.pim.in.th/snack/1439-chinese-cucumber-salad
สังขยามันม่วง-ฟักทอง,https://www.pim.in.th/snack/1437-sweet-potato-custard
ปอเปี๊ยะไส้กรอกรมรมควัน,https://www.pim.in.th/snack/1275-betagro-sausage-spring-roll
แซลมอนห่อใบชะพลู,https://www.pim.in.th/snack/1227-grilled-salmon-wrapped-in-wild-betel-leaf
ขนมปังหน้าหมู (แบบไม่ทอด),https://www.pim.in.th/snack/1273-no-fried-bread-with-minced-pork-spread
กุ้งกรอบสามรสสมุนไพร,https://www.pim.in.th/snack/1226-sweet-and-sour-deep-fried-dried-shrimp
ซุปมันม่วง ขนมปังกระเทียม,https://www.pim.in.th/snack/1270-purple-sweet-potato-soup
หมูโสร่ง (หมูสร่ง),https://www.pim.in.th/snack/1223-deep-fried-minced-pork-rolled-with-yellow-noodles
ซาลาเปาทรงเครื่อง,https://www.pim.in.th/snack/1264-salapao
กระทงทองแฮมสลัด,https://www.pim.in.th/snack/1253-golden-cup-with-ham-salad
สับปะรดกวน,https://www.pim.in.th/snack/1200-preserved-pineapple
เฟรนช์ฟรายส์ชีส,https://www.pim.in.th/snack/1187-cheesy-french-fries
มายองเนส สไตล์ญี่ปุ่น,https://www.pim.in.th/snack/1020-mayonnaise
ถุงทองไส้ข้าวผัดผงกะหรี่ปู,https://www.pim.in.th/snack/943-fried-golden-bags
Caramel Popcorn (คาราเมลป๊อบคอร์น),https://www.pim.in.th/snack/1011-caramel-popcorn
เกี๊ยวซ่า (เจ),https://www.pim.in.th/snack/937-vegetarian-gyoza
สลัดผลไม้โยเกิร์ต,https://www.pim.in.th/snack/867-fruit-salad-yogurt
ยำมะม่วงกับกะปิ ใส่มะพร้าวคั่ว,https://www.pim.in.th/snack/980-mango-sald-with-shrimp-paste
ชีสทอด,https://www.pim.in.th/snack/845-cheese-stick
กุ้งอบชีส,https://www.pim.in.th/snack/970-baked-river-prawn-with-cheese
เต้าฮวยกะทิฟรุ๊ตสลัด,https://www.pim.in.th/snack/835-jelly-coconut-milk-pudding-fruit-salad
ข้าวตังหน้าตั้ง,https://www.pim.in.th/snack/958-rice-crackers-with-minced-shrimp-and-pork-dip
สังขยาชาไทย,https://www.pim.in.th/snack/822-thai-tea-custard
ข้าวคลุกน้ำพริกผัดหมูสับไข่ข้น,https://www.pim.in.th/one-dish-food/1479-fried-rice-with-pork-chili-paste
โกยซีหมี่,https://www.pim.in.th/one-dish-food/1513-noodles-with-chicken-gravy
ข้าวมันเบคอน,https://www.pim.in.th/one-dish-food/1472-bacon-rice
เกี๊ยวกรอบต้มยำแห้ง,https://www.pim.in.th/one-dish-food/1502-crispy-wonton-tom-yum
ข้าวหน้าหมูทอดสไตล์ญี่ปุ่น,https://www.pim.in.th/one-dish-food/1447-katsudon
หมี่คลุกไก่ฉีกพริกเผา,https://www.pim.in.th/one-dish-food/1499-mee-kluk-prikpao
ข้าวผัดกระเทียมเนื้อย่าง,https://www.pim.in.th/one-dish-food/1438-beef-garlic-fried-rice
เกี๊ยวหมูซอสสุกี้,https://www.pim.in.th/one-dish-food/1489-pork-wonton-with-suki-sauce
ข้าวหน้าหมูสับผัดหนำเลี๊ยบ,https://www.pim.in.th/one-dish-food/1436-stir-fried-chinese-olives-with-minced-pork-on-rice
ข้าวผัดลูกเดือยธัญพืช,https://www.pim.in.th/one-dish-food/1433-whole-grain-fried-rice
ก๋วยเตี๋ยวหลอดไส้หน่อไม้,https://www.pim.in.th/one-dish-food/1486-chinese-steamed-rice-noodle-with-bamboo-shoot-rolls
เส้นใหญ่ผัดซีอิ๊วหมูหมัก,https://www.pim.in.th/one-dish-food/293-stir-fried-rice-noodles-with-soy-sauce-and-pork
ข้าวผัดกระเทียมญี่ปุ่นแบบง่ายๆ,https://www.pim.in.th/one-dish-food/1480-easy-garlic-fried-rice
กระเพาะปลาน้ำแดง,https://www.pim.in.th/one-dish-food/1432-fish-maw-soup
ขนมจีนน้ำใส,https://www.pim.in.th/one-dish-food/1431-nam-ngiao-rice-noodle
ข้าวมันไก่ย่างพริกไทยดำ,https://www.pim.in.th/one-dish-food/1397-black-pepper-grilled-chicken-rice
ซุปหน่อไม้ตีนไก่,https://www.pim.in.th/one-dish-food/1429-spicy-bamboo-shoot-salad-with-chicken-feet
(ก๋วยเตี๋ยว) บะหมี่น่องไก่ตุ๋นมะระ,https://www.pim.in.th/one-dish-food/1391-chicken-noodles
ผัดไทยถังแตก,https://www.pim.in.th/one-dish-food/1424-pad-thai-tang-tak
บะหมี่เกี๊ยวหมูแดง,https://www.pim.in.th/one-dish-food/1388-egg-noodle-soup-with-red-roasted-pork
"ข้าวหอมมะลิ, น้ำมันไก่, กระเทียม, ขิง, เกลือ, น้ำตาลทราย, ใบเตย, น้ำซุปไก่, สะโพกไก่, พริกไทย, ซีอิ๊วขาว, ซอสปรุงรส, เกลือ, ซอสหอยนางรม",https://www.pim.in.th/one-dish-food/1417-aussie-beef-noodles
บะหมี่ผัดสะตอกะปิกุ้ง,https://www.pim.in.th/one-dish-food/1415-fried-noodles-with-bitter-bean-and-shrimp-paste
ข้าวเหนียวนึ่งนุ่มข้ามคืน,https://www.pim.in.th/one-dish-food/1383-steamed-sticky-rice
ข้าวคลุกพริกเกลือทะเล,https://www.pim.in.th/one-dish-food/1413-salt-and-chilli-seasoned-rice
คีชแฮมไข่ผักโขม,https://www.pim.in.th/one-dish-food/1381-ham-and-spinach-quiche
โบโลน่าลาวาภูเขาไฟ,https://www.pim.in.th/one-dish-food/1410-cp-bologna-volcano
บะหมี่ราดหน้าปูทะเลผัดผงกะหรี่,https://www.pim.in.th/one-dish-food/1379-บะหมี่ราดหน้าปูทะเลผัดผงกะหรี่
เมี่ยงปลานิลนึ่ง กับน้ำจิ้มถั่วตัด,https://www.pim.in.th/one-dish-food/1409-miang-tilapia
ยำมาม่าทรงเครื่อง,https://www.pim.in.th/one-dish-food/1369-yum-mama
ข้าวไข่ข้นหมูทอดซอสแกงกะหรี่,https://www.pim.in.th/one-dish-food/1401-deep-fried-pork-with-curry-sauce-and-scrambled-eggs
หมี่คลุก,https://www.pim.in.th/one-dish-food/1368-rice-vermicell-with-meat-balls
ก๋วยจั๊บญวณ,https://www.pim.in.th/one-dish-food/1399-vietnamese-rice-noodle-soup-with-pork
พาสต้าไส้กรอกแฮมอบชีส,https://www.pim.in.th/one-dish-food/1364-baked-pasta-with-sausage-ham-and-cheese
ข้าวหน้าหมูซีอิ๊วสไตล์ญี่ปุ่น,https://www.pim.in.th/one-dish-food/1355-kurobuta-don
ไข่อบมันฝรั่ง กับเบคอน,https://www.pim.in.th/one-dish-food/1298-bacon-potato-and-egg-casserole
Hawaiian Pork Chops,https://www.pim.in.th/one-dish-food/1348-hawaiian-pork-chops
เมี่ยงหมูสามชั้น กับน้ำจิ้มเต้าเจี้ยว,https://www.pim.in.th/one-dish-food/1295-pork-and-rice-vermicelli-with-vegetable-wrap
สุกี้หมูกระทะกับน้ำจิ้มสูตรเด็ด,https://www.pim.in.th/one-dish-food/1343-pan-bbq
กุ้งทอดครีมสลัด,https://www.pim.in.th/one-dish-food/1281-fried-shrimp-salad
มะกะโรนีอบชีสในหม้อหุงข้าว,https://www.pim.in.th/one-dish-food/1324-macaroni-and-cheese
มาม่าหม้อไฟ,https://www.pim.in.th/one-dish-food/1280-mama-hotpot
ข้าวเหนียวหมูห่อใบตอง,https://www.pim.in.th/one-dish-food/1322-pork-sticky-rice
ข้าวอบสามชั้นเห็ดหอม,https://www.pim.in.th/one-dish-food/1279-mixed-rice-in-rice-cooker
ซุปข้าวไรซ์เบอรี่,https://www.pim.in.th/one-dish-food/1321-riceberry-soup
หมึกยัดไส้ข้าวผัดเขียวหวาน,https://www.pim.in.th/one-dish-food/1274-stuffed-squid-with-green-curry-rice
แกงกะหรี่ญี่ปุ่น ไส้กรอกชีส,https://www.pim.in.th/one-dish-food/1317-japanese-curry-rice-with-cheese-sausage
หม้อไฟปลาจาละเม็ดต้มเผือก,https://www.pim.in.th/one-dish-food/1267-fish-soup-with-taro-and-vermicell
ซูชิไส้กรอกชีส,https://www.pim.in.th/one-dish-food/1312-cheese-sausage-sushi
ข้าวหน้าเนื้อย่างกระเทียม,https://www.pim.in.th/one-dish-food/1259-garlic-beef-with-rice
สปาเกตตี้ผัดพริกกระเทียม,https://www.pim.in.th/one-dish-food/1308-garlic-and-dried-chilli-spaghetti-with-cheese-sausage
ข้าวเขียวหวานทอดไส้กรอกชีส,https://www.pim.in.th/one-dish-food/1297-fried-rice-ball-with-sausage-and-cheese
ข้าวไก่อบขิง,https://www.pim.in.th/one-dish-food/1257-baked-rice-with-chicken-and-ginger
ไก่ผัดเม็ดมะม่วง,https://www.pim.in.th/side-dish-by-chicken/1507-stir-fried-chicken-with-cashew-nuts
ไก่ย่างเสียบไม้ (ไก่แดง),https://www.pim.in.th/side-dish-by-chicken/1446-grilled-chicken-skewers
ไข่นกกระทาดองซีอิ๊ว,https://www.pim.in.th/side-dish-by-chicken/1504-quail-eggs-in-shoyu
ยำไก่แซ่บ,https://www.pim.in.th/side-dish-by-chicken/1443-yum-kai-zab
อกไก่ตุ๋นซอสกระเทียม,https://www.pim.in.th/side-dish-by-chicken/1498-braised-garlic-chickeen
น่องติดสะโพกไก่ทอดน้ำปลา,https://www.pim.in.th/side-dish-by-chicken/1440-crispy-fried-chicken-with-fish-sauce
ตีนไก่ต้มถั่วลิสง,https://www.pim.in.th/side-dish-by-chicken/1491-peanuts-chicken-feet-soup
ปีกไก่ตุ๋นโค้ก,https://www.pim.in.th/side-dish-by-chicken/1434-cocacola-chicken-wings
ปีกไก่อบผงกะหรี่,https://www.pim.in.th/side-dish-by-chicken/1490-grilled-chicken-wings-with-curry-powder
แหนมปีกไก่ทอด,https://www.pim.in.th/side-dish-by-chicken/1430-deep-fried-fermenting-chicken-wings
ไก่ทอดซอสเลมอน,https://www.pim.in.th/side-dish-by-chicken/1488-lemon-chicken
ไก่นึ่งตะไคร้มะนาว,https://www.pim.in.th/side-dish-by-chicken/1419-steamed-chicken-with-lime-and-chillies
สะโพกไก่อบพริกไทยดำ,https://www.pim.in.th/side-dish-by-chicken/1485-black-pepper-roasted-chicken
ไก่โคราชต้มขมิ้น,https://www.pim.in.th/side-dish-by-chicken/1416-korat-chicken-turmeric-soup
เครื่องในไก่หมกหม้อ,https://www.pim.in.th/side-dish-by-chicken/1470-steamed-chicken-giblets-in-pot
ปีกไก่เหล้าแดง,https://www.pim.in.th/side-dish-by-chicken/231-stir-fried-chicken-wing-in-red-sauce
ไก่ย่างพริกแห้ง กับแจ่วมะเขือเทศ,https://www.pim.in.th/side-dish-by-chicken/1460-spicy-grilled-chicken
ไข่ตุ๋นทรงเครื่องทอดกรอบ,https://www.pim.in.th/side-dish-by-chicken/1406-deep-fried-steamed-egg
ไก่กรอบเกาหลี,https://www.pim.in.th/side-dish-by-chicken/1457-honey-chicken
สะโพกไก่ซอสแดง,https://www.pim.in.th/side-dish-by-chicken/629-chicken-in-red-sauce
ไก่ทอดหาดใหญ่,https://www.pim.in.th/side-dish-by-chicken/1393-hadyai-deepfried-chicken
ยากิโทริ ไก่ย่างสไตล์ญี่ปุ่น,https://www.pim.in.th/side-dish-by-chicken/1318-summer-yakitori
ปีกไก่ย่างน้ำผึ้ง,https://www.pim.in.th/side-dish-by-chicken/1385-grilled-honey-chicken-wings
ไก่อบขิง,https://www.pim.in.th/side-dish-by-chicken/1316-baked-chicken-with-ginger
ไข่ดองซีอิ๊วสไตล์เกาหลี,https://www.pim.in.th/side-dish-by-chicken/1374-salted-korean-egg
ไก่ทอดเกาหลี,https://www.pim.in.th/side-dish-by-chicken/1309-korean-fried-chicken
ไข่ตุ๋นหม้อไฟหมูสับ,https://www.pim.in.th/side-dish-by-chicken/1370-easy-steamed-egg
ยำไข่ปิ้ง,https://www.pim.in.th/side-dish-by-chicken/1306-spicy-roasted-egg-salad
ไข่พะโล้ผัดแห้ง,https://www.pim.in.th/side-dish-by-chicken/1367-pork-and-boiled-eggs-in-sweet-brown-sauce
ไก่อบสมุนไพรพริกไทยดำ,https://www.pim.in.th/side-dish-by-chicken/1290-roasted-chicken-with-thai-herb-and-black-pepper
ไก่โคราช อบเนยพริกไทยดำ,https://www.pim.in.th/side-dish-by-chicken/1345-roasted-chicken-with-butter-and-black-pepper
พล่าไก่ฉีก,https://www.pim.in.th/side-dish-by-chicken/1339-spicy-salad-with-chicken-and-thai-herb
สะโพกไก่นึ่งเต้าหู้ยี้,https://www.pim.in.th/side-dish-by-chicken/1286-steamed-chicken-with-yellow-sufu
ทอดมันไก่,https://www.pim.in.th/side-dish-by-chicken/1337-thai-fried-chicken-cake
ไก่ย่างขิงซอสพริกกระเทียม,https://www.pim.in.th/side-dish-by-chicken/1271-ginger-roasted-chicken
ไข่ตุ๋นสุกี้ทะเลหม้อไฟ,https://www.pim.in.th/side-dish-by-chicken/1333-seafood-steamed-eggs-in-hot-pot-with-suki-sauce
ไก่กรอบราดน้ำปลา,https://www.pim.in.th/side-dish-by-chicken/924-deep-fried-chicken-with-sweet-fish-sauce
ปีกไก่ตุ๋นซีอิ๊วญี่ปุ่น,https://www.pim.in.th/side-dish-by-chicken/1329-braised-chicken-wings-with-shoyu
ไข่ครกสมุนไพร,https://www.pim.in.th/side-dish-by-chicken/1247-fried-egg-with-herb
ไก่อบขมิ้น,https://www.pim.in.th/side-dish-by-chicken/1246-roasted-thai-herb-chicken
ไก่ตุ๋นเต้าหู้ปลาเค็ม,https://www.pim.in.th/side-dish-by-chicken/1183-braised-chicken-with-chilli-salted-fish-paste
ไข่ตุ๋นหมูสับ ในหม้อชาบู,https://www.pim.in.th/side-dish-by-chicken/1245-steamed-egg-with-shabu-pot
แกงไก่ขมิ้น,https://www.pim.in.th/side-dish-by-chicken/1181-chicken-curry-with-turmeric-and-tomato
ไก่ชุบแป้งทอด (สูตรร้านข้าวแกง),https://www.pim.in.th/side-dish-by-chicken/1230-fried-chicken-breast
ไก่กรอบ ซอสเผ็ด - ซอสส้ม,https://www.pim.in.th/side-dish-by-chicken/1177-deep-fried-chicken-with-jazzii-sauce
ไก่พันตะไคร้,https://www.pim.in.th/side-dish-by-chicken/1229-chicken-lemon-grass
