Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
นมสดรสจืด,5.3,3.4,3.6,61,5,0
น่องไก่,9.3,18.6,6.7,135,27.5,0
น้ำกระเจี้ยบ,13.3,0,0,60,27.5,0.1
"น้ำเก็กฮวย, ต่อ 100 มล.",11.2,0,0,42,27.5,0
"น้ำขิง, ต่อ 100 มล.",7.6,0,0,28,27.5,0
น้ำแข็ง,0,0,0,0,0,0
น้ำเคยดี,0.5,14,2,90,6,1
น้ำจิ้มไก่,47,0.7,0.4,218,27.5,1.4
น้ำจิ้มสุกี้,21.1,2.7,2.2,136,27.5,1.8
น้ำเฉาก๊วย,6.9,0,0,27,27.5,0
น้ำชาเขียวสกัด,0,0,0,0,0,0
น้ำชาไทยสกัด,0,0,0,0,0,0
น้ำชุบกระดูกไก่,0.5,2,2,30,0.5,0
น้ำเชื่อม,65,0,0,260,68,0
น้ำดอกไม้,14,0.5,0.2,60,15,1.6
น้ำต้มสุก,0,0,0,0,0,0
น้ำตาล,99.8,0,0,387,100,0
น้ำตาลทรายแดง,84,0.8,0.1,134,95.5,0
น้ำตาลทรายแดง,96,0.2,0,380,98,0
"น้ำตาลปี๊บ, ผสม",83.6,0.2,0,134,93.9,0.7
น้ำตาลปึก:,94,0.1,0.1,375,94,0
น้ำตาลมะพร้าวแท้,80.1,0.9,0.1,356,27.5,0.2
"น้ำตาลสด, ต่อ 100 มล.",9.3,0.2,0,77,27.5,0
"น้ำเต้า, ดิบ",9.3,0.5,0.1,134,27.5,2.1
"น้ำนมข้าวโพด, ต่อ 100 มล.",8.2,1,0.8,45,27.5,0.7
น้ำบูดู,2.7,7.7,0.8,134,3.8,0.4
น้ำปลา,5.2,8.9,0,63,27.5,0
น้ำปลาแท้.,7,5.7,0,38,7,0
น้ำปลาผสม,2,5.7,0,12,27.5,0
น้ำปลาหวาน,30.2,4.9,0.3,256,27.5,1.8
นำ้เปล่า,0,0,0,0,0,0
น้ำผึ้ง,82.4,0.3,0,330.8,82.4,0.2
น้ำผึ้ง,82.1,0.3,0,304,82.4,0.2
น้ำผึ้ง,82.1,0.3,0,304,82.4,0.2
"น้ำฝรั่ง 100%, ต่อ 100 มล.",12.3,0.1,0,134,14.2,0.7
"น้ำฝรั่ง 25%, ต่อ 100 มล.",9.6,0.1,0,134,9.3,0.7
น้ำพริก,8,4.3,18.2,218,27.5,10.1
น้ำพริกแกงกะหรี่,9.5,5.1,10,175,27.5,13.8
น้ำพริกแกงเขียวหวาน,7.7,3.4,0.8,71,27.5,8
น้ำพริกแกงแดง,4.5,5.4,2.5,93,27.5,11.7
น้ำพริกแกงแพนง,8.7,4.6,4.5,124,27.5,10.8
น้ำพริกแกงเหลือง,3.7,6.3,1.5,111,27.5,4.7
น้ำพริกนรก,0,33.8,25.5,421,27.5,15.5
น้ำพริกเผา,26,5,23.5,396,27.5,6.3
น้ำพริกแมงดา,9.3,9.5,3.2,196,27.5,9.2
นำ้มะขามเปียก,28,2,0.4,263.6,63,5.3
น้ำมะเขือเทศ,3.6,0.7,0.2,34,27.5,0.7
น้ำมะนาว,2.5,0.4,0.2,30,10.5,2.8
น้ำมะพร้าว,5.8,0.1,0.1,28,27.5,0.1
"น้ำมะม่วง, ต่อ 100 มล.",11.7,0.2,0.2,50,27.5,0.3
"น้ำมังคุด, ต่อ 100 มล.",13.3,0.3,0,65,27.5,0.4
น้ำมัน,0,0,100,884,0,0
น้ำมันข้าวโพด,9.3,0,92.6,833,27.5,0
น้ำมันข้าวโพด,9.3,0,100,900,27.5,0
น้ำมันคาโนลา,9.3,0,89.5,806,27.5,0
น้ำมันงา,9.3,0,88.7,829,27.5,0
น้ำมันงา,0,0,100,884,0,0
"น้ำมันถั่วลิสง, ต่อ 100 มล.",9.3,0,85.4,769,27.5,0
น้ำมันถั่วเหลือง,9.3,0,90.8,817,27.5,0
น้ำมันถั่วเหลือง,9.3,0,100,900,27.5,0
น้ำมันปลา,9.3,0,99.8,898,27.5,0
น้ำมันปลาทูน่า,9.3,0,97.8,834,27.5,0
น้ำมันปาล์มโอเลอิน,9.3,0,91.3,829,27.5,0
น้ำมันปาล์มโอเลอิน,9.3,0,100,900,27.5,0
น้ำมันมะกอก,0,0,100,884,0,0
"น้ำมันมะพร้าว, ต่อ 100 มล.",9.3,0,93.5,856,27.5,0
